,game_id,team,epa,success,yards_gained,touchdown,interception,fumble_lost,season,week,home_team,away_team,home_score,away_score,opponent,win,avg_points_last3,epa_last3,epa_last5,def_epa_allowed,epa_diff
1148,2025_01_DAL_PHI,DAL,0.13882451553592903,0.5135135135135135,307.0,2.0,0.0,1.0,2025,1,PHI,DAL,24.0,20.0,PHI,0,317.6666666666667,-0.02599314201337352,0.032020277985415804,0.017919370681105044,0.12090514485482398
1192,2025_02_NYG_DAL,DAL,0.13466424909732486,0.49137931034482757,478.0,4.0,1.0,0.0,2025,2,DAL,NYG,40.0,37.0,NYG,1,387.6666666666667,0.10530391034369674,0.022202557045164162,0.017919370681105044,0.1167448784162198
1211,2025_03_DAL_CHI,DAL,-0.004570578496424139,0.4827586206896552,398.0,1.0,3.0,1.0,2025,3,CHI,DAL,31.0,14.0,CHI,0,394.3333333333333,0.08963939537894323,0.010422848912156031,0.017919370681105044,-0.022489949177529184
1246,2025_04_GB_DAL,DAL,0.23102421431837958,0.5280898876404494,436.0,5.0,0.0,0.0,2025,4,DAL,GB,40.0,40.0,GB,0,437.3333333333333,0.12037262830642674,0.10847307337060914,0.017919370681105044,0.21310484363727453
1268,2025_05_DAL_NYJ,DAL,0.26112837212458967,0.48148148148148145,416.0,5.0,0.0,0.0,2025,5,NYJ,DAL,22.0,37.0,NYJ,1,416.6666666666667,0.1625273359821817,0.1522141545159598,0.017919370681105044,0.24320900144348462
1307,2025_06_DAL_CAR,DAL,0.17656728802055674,0.4520547945205479,292.0,3.0,0.0,0.0,2025,6,CAR,DAL,30.0,27.0,CAR,0,381.3333333333333,0.2229066248211753,0.15976270901288533,0.017919370681105044,0.1586479173394517
1354,2025_07_WAS_DAL,DAL,0.19246128550047667,0.47058823529411764,409.0,4.0,0.0,0.0,2025,7,DAL,WAS,44.0,22.0,WAS,1,372.3333333333333,0.2100523152152077,0.17132211629351568,0.017919370681105044,0.17454191481937162
1170,2025_01_TEN_DEN,DEN,-0.10953810627750764,0.42391304347826086,317.0,2.0,2.0,1.0,2025,1,DEN,TEN,20.0,12.0,TEN,1,340.0,0.02679769079392014,0.06835642509341036,-0.03365321736756391,-0.07588488890994373
1182,2025_02_DEN_IND,DEN,0.16619715436316812,0.5466666666666666,324.0,4.0,1.0,0.0,2025,2,IND,DEN,29.0,28.0,IND,0,288.3333333333333,-0.022762024120821456,0.07270654887174219,-0.03365321736756391,0.19985037173073203
1212,2025_03_DEN_LAC,DEN,-0.09616969888720432,0.3188405797101449,265.0,2.0,0.0,0.0,2025,3,LAC,DEN,23.0,20.0,LAC,0,302.0,-0.013170216933847923,0.03008410557154485,-0.03365321736756391,-0.06251648151964041
1243,2025_04_CIN_DEN,DEN,0.1716648067807337,0.5053763440860215,512.0,4.0,1.0,0.0,2025,4,DEN,CIN,28.0,3.0,CIN,1,367.0,0.08056408741889919,0.001441807106213011,-0.03365321736756391,0.2053180241482976
1270,2025_05_DEN_PHI,DEN,0.06264112544534677,0.4842105263157895,360.0,2.0,0.0,0.0,2025,5,PHI,DEN,17.0,21.0,PHI,1,379.0,0.046045411112958734,0.03895905628490735,-0.03365321736756391,0.09629434281291067
1308,2025_06_DEN_NYJ,DEN,-0.1095799302055507,0.3466666666666667,246.0,1.0,0.0,1.0,2025,6,NYJ,DEN,11.0,13.0,NYJ,1,372.6666666666667,0.04157533400684329,0.03895069149929874,-0.03365321736756391,-0.07592671283798678
1346,2025_07_NYG_DEN,DEN,0.10657533139340948,0.45,411.0,4.0,0.0,0.0,2025,7,DEN,NYG,33.0,32.0,NYG,1,339.0,0.019878842211068545,0.02702632690534701,-0.03365321736756391,0.1402285487609734
1150,2025_01_DET_GB,DET,-0.053930350450451615,0.43373493975903615,246.0,1.0,1.0,0.0,2025,1,GB,DET,27.0,13.0,GB,0,387.0,0.01417286283127852,0.13228328937817396,-0.02232018432472693,-0.03161016612572469
1179,2025_02_CHI_DET,DET,0.3040654393475693,0.5714285714285714,511.0,7.0,0.0,0.0,2025,2,DET,CHI,52.0,21.0,CHI,1,426.0,0.10354566694358154,0.13716087593324736,-0.02232018432472693,0.32638562367229623
1215,2025_03_DET_BAL,DET,0.28674891570076433,0.5930232558139535,426.0,5.0,0.0,0.0,2025,3,BAL,DET,30.0,38.0,BAL,1,394.3333333333333,0.17896133486596066,0.12666658870843384,-0.02232018432472693,0.30906910002549126
1245,2025_04_CLE_DET,DET,-0.0833274719162131,0.43037974683544306,277.0,3.0,1.0,0.0,2025,4,DET,CLE,34.0,10.0,CLE,1,404.6666666666667,0.16916229437737348,0.10281168892305917,-0.02232018432472693,-0.06100728759148617
1273,2025_05_DET_CIN,DET,0.18806264048450777,0.5443037974683544,365.0,5.0,0.0,1.0,2025,5,CIN,DET,24.0,37.0,CIN,1,356.0,0.130494694756353,0.12832383463323532,-0.02232018432472693,0.2103828248092347
1310,2025_06_DET_KC,DET,0.06693976876315641,0.5652173913043478,297.0,2.0,0.0,0.0,2025,6,KC,DET,30.0,17.0,KC,0,313.0,0.057224979110483694,0.15249785847595693,-0.02232018432472693,0.08925995308788334
1352,2025_07_TB_DET,DET,-0.09183985749967763,0.3855421686746988,379.0,3.0,1.0,1.0,2025,7,DET,TB,24.0,9.0,TB,1,347.0,0.05438751724932886,0.07331679910650755,-0.02232018432472693,-0.0695196731749507
1151,2025_01_DET_GB,GB,0.18478708315260156,0.5,266.0,3.0,0.0,0.0,2025,1,GB,DET,27.0,13.0,DET,1,311.6666666666667,-0.058060777113141636,0.00833917809354875,-0.014640903995567462,0.19942798714816903
